=== MULTI-TRACK DIAGNOSTIC ENGINE SWEEP ===

--- TRACK: Melbourne ---
Track Caught: 727/1100 (66.09%)

--- CAUGHT COMBINATIONS ---
✅ CAUGHT | Time: 24.0s | Sensor: RPM      | Fault: Noise        | Conf:  97.1%
✅ CAUGHT | Time: 24.0s | Sensor: Throttle | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 24.0s | Sensor: Throttle | Fault: Drift        | Conf:  95.5%
✅ CAUGHT | Time: 24.0s | Sensor: Brake    | Fault: Drift        | Conf: 100.0%
✅ CAUGHT | Time: 24.0s | Sensor: nGear    | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 24.0s | Sensor: nGear    | Fault: Stuck Value  | Conf:  53.7%
✅ CAUGHT | Time: 24.0s | Sensor: nGear    | Fault: Drift        | Conf: 100.0%
✅ CAUGHT | Time: 24.0s | Sensor: nGear    | Fault: Noise        | Conf:  80.9%
✅ CAUGHT | Time: 25.0s | Sensor: Speed    | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 25.0s | Sensor: Speed    | Fault: Drift        | Conf:  94.8%
✅ CAUGHT | Time: 25.0s | Sensor: Speed    | Fault: Noise        | Conf:  69.8%
✅ CAUGHT | Time: 25.0s | Sensor: RPM      | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 25.0s | Sensor: RPM      | Fault: Stuck Value  | Conf:  58.4%
✅ CAUGHT | Time: 25.0s | Sensor: RPM      | Fault: Drift        | Conf: 100.0%
✅ CAUGHT | Time: 25.0s | Sensor: RPM      | Fault: Noise        | Conf:  97.3%
✅ CAUGHT | Time: 25.0s | Sensor: Throttle | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 25.0s | Sensor: Throttle | Fault: Drift        | Conf:  95.0%
✅ CAUGHT | Time: 25.0s | Sensor: Brake    | Fault: Drift        | Conf: 100.0%
✅ CAUGHT | Time: 25.0s | Sensor: nGear    | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 25.0s | Sensor: nGear    | Fault: Drift        | Conf: 100.0%
✅ CAUGHT | Time: 25.0s | Sensor: nGear    | Fault: Noise        | Conf:  84.4%
✅ CAUGHT | Time: 26.0s | Sensor: Speed    | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 26.0s | Sensor: Speed    | Fault: Drift        | Conf:  83.2%
✅ CAUGHT | Time: 26.0s | Sensor: RPM      | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 26.0s | Sensor: RPM      | Fault: Stuck Value  | Conf:  76.4%
✅ CAUGHT | Time: 26.0s | Sensor: RPM      | Fault: Drift        | Conf: 100.0%
✅ CAUGHT | Time: 26.0s | Sensor: RPM      | Fault: Noise        | Conf:  94.1%
✅ CAUGHT | Time: 26.0s | Sensor: Throttle | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 26.0s | Sensor: Throttle | Fault: Stuck Value  | Conf:  90.0%
✅ CAUGHT | Time: 26.0s | Sensor: Throttle | Fault: Drift        | Conf:  71.9%
✅ CAUGHT | Time: 26.0s | Sensor: Brake    | Fault: Drift        | Conf: 100.0%
✅ CAUGHT | Time: 26.0s | Sensor: Brake    | Fault: Noise        | Conf:  46.0%
✅ CAUGHT | Time: 26.0s | Sensor: nGear    | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 26.0s | Sensor: nGear    | Fault: Drift        | Conf: 100.0%
✅ CAUGHT | Time: 26.0s | Sensor: nGear    | Fault: Noise        | Conf:  88.4%
✅ CAUGHT | Time: 27.0s | Sensor: Speed    | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 27.0s | Sensor: Speed    | Fault: Stuck Value  | Conf:  93.8%
✅ CAUGHT | Time: 27.0s | Sensor: Speed    | Fault: Drift        | Conf:  71.4%
✅ CAUGHT | Time: 27.0s | Sensor: RPM      | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 27.0s | Sensor: RPM      | Fault: Stuck Value  | Conf:  82.2%
✅ CAUGHT | Time: 27.0s | Sensor: RPM      | Fault: Drift        | Conf: 100.0%
✅ CAUGHT | Time: 27.0s | Sensor: RPM      | Fault: Noise        | Conf:  91.7%
✅ CAUGHT | Time: 27.0s | Sensor: Throttle | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 27.0s | Sensor: Throttle | Fault: Stuck Value  | Conf:  99.8%
✅ CAUGHT | Time: 27.0s | Sensor: Brake    | Fault: Drift        | Conf: 100.0%
✅ CAUGHT | Time: 27.0s | Sensor: Brake    | Fault: Noise        | Conf:  76.5%
✅ CAUGHT | Time: 27.0s | Sensor: nGear    | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 27.0s | Sensor: nGear    | Fault: Drift        | Conf: 100.0%
✅ CAUGHT | Time: 27.0s | Sensor: nGear    | Fault: Noise        | Conf:  66.2%
✅ CAUGHT | Time: 28.0s | Sensor: Speed    | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 28.0s | Sensor: Speed    | Fault: Stuck Value  | Conf:  35.6%
✅ CAUGHT | Time: 28.0s | Sensor: Speed    | Fault: Drift        | Conf:  88.3%
✅ CAUGHT | Time: 28.0s | Sensor: Speed    | Fault: Noise        | Conf:  31.1%
✅ CAUGHT | Time: 28.0s | Sensor: RPM      | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 28.0s | Sensor: RPM      | Fault: Stuck Value  | Conf:  45.3%
✅ CAUGHT | Time: 28.0s | Sensor: RPM      | Fault: Drift        | Conf:  99.9%
✅ CAUGHT | Time: 28.0s | Sensor: RPM      | Fault: Noise        | Conf:  94.2%
✅ CAUGHT | Time: 28.0s | Sensor: Throttle | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 28.0s | Sensor: Throttle | Fault: Stuck Value  | Conf: 100.0%
✅ CAUGHT | Time: 28.0s | Sensor: Throttle | Fault: Drift        | Conf:  39.7%
✅ CAUGHT | Time: 28.0s | Sensor: Throttle | Fault: Noise        | Conf:  44.7%
✅ CAUGHT | Time: 28.0s | Sensor: Brake    | Fault: Stuck Value  | Conf: 100.0%
✅ CAUGHT | Time: 28.0s | Sensor: Brake    | Fault: Drift        | Conf: 100.0%
✅ CAUGHT | Time: 28.0s | Sensor: nGear    | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 28.0s | Sensor: nGear    | Fault: Drift        | Conf: 100.0%
✅ CAUGHT | Time: 28.0s | Sensor: nGear    | Fault: Noise        | Conf:  79.4%
✅ CAUGHT | Time: 29.0s | Sensor: Speed    | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 29.0s | Sensor: Speed    | Fault: Drift        | Conf:  92.9%
✅ CAUGHT | Time: 29.0s | Sensor: Speed    | Fault: Noise        | Conf:  42.4%
✅ CAUGHT | Time: 29.0s | Sensor: RPM      | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 29.0s | Sensor: RPM      | Fault: Stuck Value  | Conf:  75.5%
✅ CAUGHT | Time: 29.0s | Sensor: RPM      | Fault: Drift        | Conf: 100.0%
✅ CAUGHT | Time: 29.0s | Sensor: RPM      | Fault: Noise        | Conf:  84.8%
✅ CAUGHT | Time: 29.0s | Sensor: Throttle | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 29.0s | Sensor: Throttle | Fault: Stuck Value  | Conf:  81.6%
✅ CAUGHT | Time: 29.0s | Sensor: Throttle | Fault: Drift        | Conf:  87.2%
✅ CAUGHT | Time: 29.0s | Sensor: Brake    | Fault: Drift        | Conf: 100.0%
✅ CAUGHT | Time: 29.0s | Sensor: nGear    | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 29.0s | Sensor: nGear    | Fault: Drift        | Conf: 100.0%
✅ CAUGHT | Time: 29.0s | Sensor: nGear    | Fault: Noise        | Conf:  70.1%
✅ CAUGHT | Time: 30.0s | Sensor: Speed    | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 30.0s | Sensor: Speed    | Fault: Drift        | Conf:  96.7%
✅ CAUGHT | Time: 30.0s | Sensor: RPM      | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 30.0s | Sensor: RPM      | Fault: Stuck Value  | Conf:  52.2%
✅ CAUGHT | Time: 30.0s | Sensor: RPM      | Fault: Drift        | Conf: 100.0%
✅ CAUGHT | Time: 30.0s | Sensor: RPM      | Fault: Noise        | Conf:  90.6%
✅ CAUGHT | Time: 30.0s | Sensor: Throttle | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 30.0s | Sensor: Throttle | Fault: Drift        | Conf:  93.6%
✅ CAUGHT | Time: 30.0s | Sensor: Brake    | Fault: Drift        | Conf: 100.0%
✅ CAUGHT | Time: 30.0s | Sensor: nGear    | Fault: Dropout      | Conf: 100.0%
✅ CAUGHT | Time: 30.0s | Sensor: nGear    | Fault: Drift        | Conf: 100.0%
✅ CAUGHT | Time: 30.0s | Sensor: nGear    | Fault: Noise        | Conf:  88.1%
